sample_id,temperature_kelvin,log_conductivity,pred_baseline_dnn
245,1073.15,-1.3467874862246563,-1.2479525
961,1073.15,-1.7216351522623115,-1.6997955
1060,873.15,-2.1450869776921446,-2.2337403
103,1073.15,-1.4559319556497243,-1.4598991
524,973.15,-1.7154085967986825,-1.6353649
764,923.15,-1.6384159198791484,-1.7818826
569,1023.15,-1.4862618750158818,-1.5678829
1350,873.15,-2.2622117724000472,-2.293222
413,1173.15,-3.5057861077681918,-3.6524835
470,1273.15,-1.0206364318514163,-0.9871059
848,823.15,-3.125854597887748,-2.9704242
403,773.15,-2.7655897599047643,-2.8712668
233,1033.15,-1.7212463990471711,-2.207344
212,873.15,-1.9410049064745838,-1.9330487
773,1073.15,-1.2717080542022916,-1.1866398
972,923.15,-2.4098271684036856,-2.4192176
702,873.15,-2.468008643445192,-2.5652852
65,1223.15,-1.1674910872937636,-1.0660827
1099,823.15,-2.5495011197672977,-2.8104959
474,1273.15,-0.8675290767460953,-0.9857736
416,1023.15,-3.707617991294506,-3.8581438
